Ps,Trial ,Score,Age
42,1,32.61427158,41-60
42,2,77.27332013,41-60
42,3,67.90286365,41-60
42,4,88.42630258,41-60
42,5,274.6784956,41-60
43,1,35.54977648,41-60
43,2,97.35096065,41-60
43,3,68.27989284,41-60
43,4,83.11489267,41-60
43,5,126.8357138,41-60
44,1,32.79241716,41-60
44,2,75.77621875,41-60
44,3,64.74983449,41-60
44,4,90.54229837,41-60
44,5,152.3412415,41-60
45,1,32.45589083,41-60
45,2,75.99053422,41-60
45,3,59.37825382,41-60
45,4,97.05113592,41-60
45,5,115.0212083,41-60
46,1,32.02848514,41-60
46,2,78.10564417,41-60
46,3,133.552617,41-60
46,4,123.2876902,41-60
46,5,210.1349335,41-60
47,1,33.3782036,41-60
47,2,78.28646555,41-60
47,3,58.5006211,41-60
47,4,78.51596082,41-60
47,5,117.1499505,41-60
48,1,31.43612599,41-60
48,2,76.04382486,41-60
48,3,61.85423647,41-60
48,4,103.0525919,41-60
48,5,132.9226496,41-60
49,1,31.61427158,41-60
49,2,75.21539774,41-60
49,3,82.57168891,41-60
49,4,84.37495289,41-60
49,5,107.7783196,41-60
50,1,39.56954131,41-60
50,2,93.11269837,41-60
50,3,81.90826195,41-60
50,4,88.35753336,41-60
50,5,105.4930963,41-60
51,1,31.20663073,41-60
51,2,75.03725215,41-60
51,3,64.21539774,41-60
51,4,84.11051427,41-60
51,5,110.7313586,41-60
52,1,31.38477631,41-60
52,2,77.93017438,41-60
52,3,58.686891,41-60
52,4,106.3748054,41-60
52,5,131.9336474,41-60
53,1,36.55634919,41-60
53,2,88.82747501,41-60
53,3,68.45803843,41-60
53,4,172.989339,41-60
53,5,312.0769785,41-60
54,1,32.20005802,41-60
54,2,79.24168858,41-60
54,3,62.09955295,41-60
54,4,88.71382453,41-60
54,5,131.2789407,41-60
55,1,41.72792206,41-60
55,2,80.6919121,41-60
55,3,67.52033922,41-60
55,4,113.7291643,41-60
55,5,135.1411835,41-60
56,1,31.43612599,41-60
56,2,75.03725215,41-60
56,3,59.5651162,41-60
56,4,96.95646522,41-60
56,5,151.6571443,41-60
57,1,32.02191243,41-60
57,2,75.26674742,41-60
57,3,72.26455312,41-60
57,4,119.3149507,41-60
57,5,137.8068048,41-60
58,1,35.20663073,41-60
58,2,75.91702896,41-60
58,3,66.92360167,41-60
58,4,90.23073746,41-60
58,5,128.744504,41-60
59,1,39.3782036,41-60
59,2,86.62303859,41-60
59,3,578.6406246,41-60
59,4,561.6648282,41-60
59,5,208.67623,41-60
60,1,34.78584445,41-60
60,2,76.15747535,41-60
60,3,121.1596696,41-60
60,4,98.1302324,41-60
60,5,123.553213,41-60
1,1,38.20663073,61-80
1,2,78.73888338,61-80
1,3,62.75630291,61-80
1,4,213.9372262,61-80
1,5,164.0053038,61-80
2,1,33.79241716,61-80
2,2,79.91483466,61-80
2,3,121.0701157,61-80
2,4,118.9051155,61-80
2,5,236.6659113,61-80
3,1,34.71205414,61-80
3,2,76.86567928,61-80
3,3,79.33509273,61-80
3,4,118.8247525,61-80
3,5,211.1243737,61-80
4,1,32.96399004,61-80
4,2,89.59295864,61-80
4,3,139.30697,61-80
4,4,81.75816545,61-80
4,5,190.4875309,61-80
5,1,34.62746371,61-80
5,2,79.67876668,61-80
5,3,70.40668874,61-80
5,4,215.2003583,61-80
5,5,280.4367785,61-80
6,1,35.72792206,61-80
6,2,83.34219364,61-80
6,3,59.5006211,61-80
6,4,95.90073713,61-80
6,5,123.4351739,61-80
7,1,38.67876668,61-80
7,2,76.6296113,61-80
7,3,250.5330744,61-80
7,4,117.296256,61-80
7,5,124.6934489,61-80
8,1,32.21320344,61-80
8,2,77.21539774,61-80
8,3,63.28159545,61-80
8,4,104.1279373,61-80
8,5,150.0396099,61-80
9,1,35.72792206,61-80
9,2,77.45803843,61-80
9,3,129.0034365,61-80
9,4,89.29961097,61-80
9,5,115.8428147,61-80
10,1,33.14213562,61-80
